"gene_symbols","lfc","WT_expression","KO_expression"
"Gnai3",0.067254629810634,34.031189,32.328543
"Pbsn",0,0,0
"Cdc45",-0.104404831972481,0.945245,1.895981
"Scml2",-0.188214021145093,0,0.204856
"Apoh",-0.447554843436055,1.487107,12.031902
"Narf",0.171300743210908,14.723439,11.130601
"Cav2",-0.369337201665065,39.640257,61.942078
"Klf6",-0.341938267423867,31.220369,48.089908
"Scmh1",-0.22583138908881,6.773597,12.174174
"Cox5a",-0.143776565008238,169.990428,209.482275
"Tbx2",-0.162386315004833,13.629762,17.722813
"Tbx4",-0.118020146504912,0,0.119734
"Zfy2",0,0,0
"Ngfr",0.281627739882587,1.347209,0.166882
"Wnt3",-0.0355934334579295,0,0.010439
"Wnt9a",0.146352017857726,0.93233,0.327011
"Fer",-0.00897763396641871,8.407937,8.771235
"Xpo6",-0.042722492987469,17.828248,19.280303
"Tfe3",0.271163554244678,29.215942,20.936777
"Axin2",-0.057103566881727,1.73536,2.424566
"Brat1",0.0265719000414979,5.710397,5.490356
"Gna12",-0.202731927440158,31.292736,40.314318
"Slc22a18",-0.0611752580974283,25.024363,28.559834
"Itgb2l",0,0,0
"Igsf5",-0.0689633414297983,12.102477,14.150445
"Pih1d2",-0.213371495553583,0,1.339503
"Dlat",-0.57816827284087,16.984206,36.769815
"Sdhd",-0.0168343195995959,121.074567,126.536814
"Fgf23",-0.0355934334579295,0,0.018696
"Fgf6",0,0,0
"Ccnd2",0.547807721030917,81.866073,50.344263
"Gpr107",0.117670571493482,25.39549,22.152243
"Nalcn",-0.112530645214012,0,0.043211
"Btbd17",-0.0616465086964828,0,0.032301
"Slfn4",-0.0183416728217942,0.414661,0.489067
"Th",0,0,0
"Ins2",0,0,0
"Scnn1g",-0.246546225877292,26.057182,36.342006
"Drp2",0,0,0
"Tspan32",0.0370730797400771,8.483859,7.875607
"Lhx2",-0.128294926531119,0,0.186038
"Clec2g",0,0,0
"Gmpr",-0.172177318534859,10.611745,16.372143
"Glra1",0,0,0
"Mid2",0.208759684821679,9.021837,5.997705
"Trim25",0.00569592229487448,23.306713,23.838418
"Dgke",0.0767426757808671,3.475072,2.946073
"Scpep1",-0.274464445903146,19.997692,31.479312
"Mnt",-0.0100236489208232,6.280017,6.560047
"Itgb2",0.225905776691246,37.808705,29.269503
"Hddc2",0.177957564072793,15.29298,8.323869
"Tpd52l1",0.0723457612914906,18.123178,15.18954
"Pemt",-0.174269951881728,0,1.34299
"Cdh1",-0.170546967554575,43.228567,52.249122
"Cdh4",-0.363768999978978,0,0.929809
"Ckmt1",-0.128732276314253,38.362615,48.095057
"Bcl6b",0.00392700703076976,13.889039,14.126781
"Clec10a",0.142183077575638,5.65471,3.14117
"Alox12",0.117081528279103,4.673437,3.352177
"Comt",-0.240097066364784,32.521663,47.617499
"Rtca",-0.243469968888569,4.2015,9.776019
"Dbt",-0.133156250421354,17.343232,21.601359
"Dazap2",0.206719741792307,141.962126,119.81239
"Mcts1",-0.0652522213183957,20.470073,25.256564
"Rem1",0.0457748785795715,5.001032,4.303687
"Rnf17",-0.0711814520842839,0,0.132163
"Trappc10",-0.116320109085425,15.619127,18.666243
"Ccm2",0.0121946241807578,33.328941,33.385181
"Wap",0,0,0
"Tbrg4",0.429774583126742,41.130123,18.906896
"Tmprss2",-0.380206336171133,22.831545,37.691965
"Mx1",0.0513536989463557,1.201826,0.806244
"Fap",-0.198025385733539,0,0.692762
"Gcg",0,0,0
"Ndufa9",-0.0404721317471726,57.328696,62.35342
"Egfl6",-0.2016904828628,11.04501,16.28232
"Lck",0.471816521115279,65.14992,36.739569
"Tssk3",-0.0503354398648348,0,0.056201
"Cttnbp2",-0.364099035704211,3.201543,8.036797
"Galnt1",-0.114971983167479,29.168415,34.19875
"Myf5",0,0,0
"Mkrn2",-0.46813295805992,6.008955,14.51611
"Pparg",-0.138942452577597,1.866075,3.690739
"Raf1",-0.17957409006671,27.876525,35.932505
"Septin1",0.35874305171612,74.546871,46.168063
"Pdgfb",-0.294801269896306,15.41624,25.071621
"Acvrl1",0.300285165998993,28.834216,18.349234
"Tamalin",-0.126713905354706,3.981342,6.180218
"Acvr1b",-0.310289967229954,6.881307,11.968861
"Tom1l2",0.300229992084271,51.384183,37.556072
"Gpa33",-0.0871746986997985,0,0.089111
"Zfp385a",-0.0187689595825269,3.474019,3.805399
"Itga5",-0.1094695760997,14.710093,17.486964
"Gabra2",0,0,0
"Wdr77",-0.0414773513393598,11.275631,12.565603
"Adora3",0.0167511758826286,1.444009,1.314939
"Atp5pb",-0.0118672253397563,155.993121,161.69993
"Sox9",-0.241131760971591,0,0.350362
"Hnrnpd",0.0722903859602226,38.68483,35.203868
"Dynlt1c",-0.285964676803779,2.936823,7.712603
"C1d",-0.525727175439732,8.891511,26.142835
"Gm2a",0.152709745207661,40.664783,35.45648
"Krit1",0.166323501814178,16.444889,12.960713
"Clcn4",-0.136922391314098,14.716865,18.182696
"Vmn2r88",0,0,0
"Grm6",-0.0711814520842839,0,0.079231
"Sema4f",0.105212939045003,1.867994,1.24548
"Hk2",-0.190291641184771,0.818722,1.752525
"Myo18a",-0.478745333905559,28.375388,46.694783
"Sez6",-0.0355934334579295,0,0.009919
"Haao",0.200567438787006,30.613911,19.646446
"Cd52",0.491680346433361,359.973112,195.78871
"Abhd15",0.021512485763413,2.956538,2.795604
"Hoxb6",0.0450986274867127,13.257974,12.093803
"Loxl3",0.370994492067229,5.835593,0.739213
"Tcl1b5",0,0,0
"Btn1a1",0,0,0
"Kat2b",-0.140352470948368,21.830719,26.634568
"Rab5b",5.03626654513312e-06,52.318875,53.579656
"Cryba1",0,0,0
"Dnmt3l",-0.0503354398648348,0,0.066693
"Aire",-0.0616465086964828,0,0.06408
"Icosl",-0.0500989764416726,9.582544,10.940933
"Spg7",-0.182764663400526,16.729045,24.106837
"Sult5a1",-0.163026986243814,0,0.853214
"Rpl13",0.0914654640741706,473.325471,445.704993
"Chmp1a",-0.0630540450156118,20.345879,23.151551
"Rpa1",-0.050231369900791,26.770702,29.213417
"Serpinf1",0.0314388990827688,10.34586,9.438206
"Tubgcp3",-0.255588951385889,7.863924,12.754776
"Oprm1",-0.0503354398648348,0,0.049365
"Polr3d",0.286081061791988,11.461968,4.637015
"Tcf7",0.106510678057289,33.496665,29.495666
"Ddx3x",0.00570940548666599,68.983104,70.351788
"Il12rb1",-0.0340560924046827,0.57279,0.761641
"Slc5a5",0,0,0
"Kcnn3",-0.230432638234944,0,0.274429
"Usp32",-0.199683428825084,10.993594,14.646309
"Car4",-0.0524531707873184,24.087727,27.45351
"Txnrd3",0.00976941871665815,3.312014,3.284721
"Fasl",0.38462287531998,15.177435,1.65191
"Zfp512b",-0.354220156217846,6.048623,11.8248
"Dnajc5",0.222739369739656,39.894652,31.308046
"Tpd52l2",-0.44548600736117,19.186655,40.784185
"Fmr1",0.028370879646241,18.972791,18.614166
"Bcl11a",0.0633934813865693,7.955794,7.28354
"Il4",-0.0616465086964828,0,0.2313
"Pxmp4",0.334269803220614,23.058929,12.978082
"Dlg3",0.0553384248635602,6.530527,5.85078
"Gnb1l",-0.367198714879267,0,2.14248
"Dbh",0,0,0
"Mmp11",0.49628586583149,20.14939,4.502251
"Smarcb1",-0.0361029417812748,22.559077,24.586771
"Vpreb3",-0.249571236550983,7.102214,21.351911
"Hip1r",-0.566610903375595,7.760617,18.341501
"Nsun5",0.135942957983749,8.079232,4.151733
"Top1mt",0.0976573818496469,4.288572,2.974984
"Hoxa10",0.181797208214908,17.591955,12.196044
"Hoxa4",0.0199310686455512,1.050375,0.910816
"Gm38393",-0.0242633581573308,0.388568,0.485369
"Mmp14",-0.290550890341063,4.861771,10.192272
"Slc7a7",-0.125151938609973,46.704706,56.415277
"Oxa1l",-0.0578133600583719,18.233438,20.580942
"Heatr6",0.449143755216008,14.658621,5.880571
"Ccl3",-0.0272221861717092,2.638135,3.322822
"Wfdc18",0,0,0
"Icam4",-0.0711814520842839,0,0.158553
"Ilf2",-0.136015098331676,14.381006,19.035009
"Chtop",-0.0733519319085207,34.591347,38.858487
"Snapin",0.318867097116991,29.78336,16.063275
"S100a4",0.240397093310184,97.710359,59.046089
"S100a3",-0.0711814520842839,0,0.231071
"S100a5",0.250370332338635,6.953549,0
"S100a6",0.560574401412573,99.758274,28.498091
"Scn4a",-0.0508781513889378,0.452987,0.60788
"Icam2",0.296421109106436,81.30425,52.194889
"Mapk7",0.198591135080378,9.952909,6.133615
"Epn2",-0.165277581272425,12.680131,16.652551
"B9d1",0.193188112116875,14.480882,6.867963
"Sec24b",-0.191723350372074,9.417856,13.045654
"N4bp3",-0.096816651273592,9.41488,11.919296
"Rmnd5b",-0.00559450675400086,12.545497,12.999823
"Nhp2",0.19483814514151,26.743363,16.78451
"Vps9d1",-0.103113350999239,9.847157,12.637539
"Zfp276",-0.0828758581957842,5.731499,7.120265
"C1ql4",-0.0616465086964828,0,0.071276
"Mfsd10",-0.315718043644933,3.422731,9.872312
"Luzp1",0.167438158786029,16.98828,13.993347
"Slc13a2",-0.0995114943781896,1.976088,3.069698
"Kctd10",0.232148331014598,41.197608,31.37431
"Poldip2",-0.123177217669461,32.479575,39.325579
"Sebox",0,0,0
"Ift20",-0.0197930834936564,20.883623,22.599178
"Col6a1",-0.159568132179931,2.233508,3.675562
"Pcbp3",0.19931616805493,13.989178,8.162354
"Lgals9",0.0831412281738384,51.064122,46.559075
"Araf",0.211063727209465,41.655703,31.209735
"Cfp",-0.31332784820912,16.308096,29.874826
"Timp1",0.126795167653092,2.350687,0.600208
"Uxt",0.146045717723304,29.590059,18.414108
"Cnnm3",0.260908596540935,25.823387,16.072899
"Lman2l",-0.58426724917928,3.723051,15.10754
"Mcm3ap",0.224323720060529,10.83274,7.932515
"Pcnt",0.107086576116226,6.929627,6.00682
"Ftcd",-0.146696002846049,0,0.295773
"Mxd1",-0.181092144867094,6.125851,8.875663
"Gmcl1",0.132231173361244,12.97543,10.207332
"Snrnp27",0.159020902195426,34.43713,23.784132
"Oas1c",0.250022482487699,7.147831,1.410528
"Oas1h",0,0,0
"Ocrl",-0.207446037726134,3.731012,5.998315
"Calm1",0.248384131526638,169.759702,141.453199
"Agpat3",0.0104977858659101,91.830156,92.966616
"Slc26a3",0,0,0
"Sema6b",-0.300198236288141,2.459362,5.994866
"Uhrf1",-0.167371093947926,5.009831,7.561772
"Dpp9",0.0672064895802809,12.592777,11.528626
"Ramp2",0.064755012964433,58.221169,52.957719
"Lsr",-0.155343699689274,5.459553,8.612299
"Gramd1a",0.31084191801755,29.713047,19.141118
"Hpn",0.0864723020966753,56.099158,50.975836
"Gabrg1",-0.198025385733539,0,0.329694
"Ckb",-0.0329431220777607,171.738135,181.453323
"Sp1",0.0499072434157295,24.939289,24.269719
"Itgb7",0.243729478532336,49.887412,37.240867
"Myg1",0.371995533308731,47.014919,21.794843
"Rarg",0.532880552895575,42.828034,19.598361
"Pfdn5",-0.0365649713871985,132.145013,142.818867
"Efnb2",0.343533674067245,39.761643,28.322593
"Rrp15",0.0472831437430994,4.061732,3.367026
"Rnd2",0.0443043026086727,4.250942,3.585586
