"gene_symbols","lfc","WT_expression","KO_expression"
"Alb",-2.21592088984018,23.079067,258.31958
"Mpo",-1.47424339032681,1.978795,46.297238
"Serpina3k",-1.39674995852994,4.715248,60.412987
"Clec4f",-1.27363111132641,10.263104,69.307999
"Cd5l",-1.22272550474163,9.539451,66.345662
"Mrps35",-0.966698363826318,2.161242,23.755336
"Slc40a1",-0.905755376752133,16.078336,50.547654
"Kdm5a",-0.902810246562078,8.263542,25.761957
"Vsig4",-0.894754205703387,1.190581,27.17235
"Trf",-0.873143498162209,30.894324,89.525577
