"gene_symbols","lfc","WT_expression","KO_expression"
"Lars2",2.10941521112446,94.411752,6.993887
"Gm45837",1.54411804310381,57.7353,8.770283
"Hbb-bs",1.44083895991163,537.771791,95.77712
"Gm28438",1.31885012023722,10816.904611,4038.738884
"AY036118",1.2405372567671,171.97101,15.33737
"Fn1",1.21764373301921,106.610331,39.530225
"Mgam",1.21633421495581,26.335065,4.199743
"Ly6e",1.05816899928765,697.605776,287.829422
"Tpsb2",1.00954577930223,104.582276,20.633022
"Arap2",0.997606111151581,35.954943,8.770661
"Pfn1",0.252593614153572,405.590306,328.916252
