UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
22	48
0	48
15	0
115	2
35	3
23	3
8	0
17	0
16	0
66	0
36	5
0	0
0	0
0	0
0	0
0	1
0	1
56	5
0	1
0	1
34	21
1	21
2	0
0	0
1	1
0	1
4	0
5	1
1	0
0	0
0	1
0	1
0	7
0	3
0	1
0	5
10	6
0	2
4	10
3	12
3	2
5	2
4	7
15	3
0	16
5	1
5	1
0	1
3	2
3	15
0	14
5	6
0	6
0	10
0	7
1	0
1	4
0	4
3	2
0	5
4	6
0	5
8	5
0	1
2	0
1	2
0	2
0	8
0	0
5	5
5	0
21	7
0	1
0	0
1	2
0	2
1	2
0	1
0	1
33	4
2	3
0	7
6	0
3	5
0	5
1	1
0	6
0	5
0	8
0	1
0	0
11	0
7	5
1	3
1	2
0	2
5	7
0	7
0	7
3	0
3	3
0	1
5	5
10	14
0	10
5	10
0	12
16	5
2	10
0	7
6	7
0	16
4	1
1	4
0	4
7	1
11	0
0	0
0	0
4	4
5	1
5	0
10	4
0	0
5	0
0	0
5	0
4	6
0	6
1	1
9	5
3	0
2	7
0	2
0	2
6	1
0	1
0	0
0	5
9	0
3	0
1	8
0	8
0	0
0	0
2	0
7	0
1	1
0	1
0	0
0	0
3	0
0	0
8	0
0	0
0	0
6	0
0	4
0	4
0	0
0	0
0	0
0	0
7	1
4	0
52	3
39	0
13	1
48	1
39	0
5	0
0	7
7	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
912	1124
34	167
7	806
0	530
1	309
0	470
0	0
0	0
43	55
5	55
0	8158
5282	8175
0	0
0	0
0	0
13	69
0	65
204	1308
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	20
0	33
0	34
0	21
0	9
0	0
0	10
1	0
0	3
0	9
0	37
0	21
0	0
0	0
4	290
2	331
8	13
11	41
3	314
15	120
0	93
0	92
77	329
44	270
0	8
0	0
0	0
0	0
0	0
0	0
57	1013
20	137
3	50
0	1019
28	310
3	37
0	604
0	34
0	604
0	34
0	604
0	34
0	52
0	0
0	0
0	604
81	382
0	529
0	443
0	0
0	0
431	1731
0	134
8	1287
12	500
0	14
1	96
241	197
28	359
6	28
0	0
0	195
8	14
0	160
7	94
1	193
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
43	3
0	1
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
